domain,schdomain,ukdomain,county,urns
carltoncentralinfants.com,0,0,,{122524}
carltoncolville.suffolk.sch.uk,1,1,suffolk,{124574}
carltonhill.brighton-hove.sch.uk,1,1,brighton-hove,{114381}
carlton-in-snaith.n-yorks.sch.uk,1,1,n-yorks,{121386}
carltonjandischool.co.uk,0,1,,{130866}
carltonji.org.uk,0,1,,{107600}
carltonminiott.n-yorks.sch.uk,1,1,n-yorks,{121374}
carlton.notts.sch.uk,1,1,notts,"{144932,122523}"
carltonprimary.co.uk,0,1,,{139083}
carltonprimaryschool.co.uk,0,1,,{107830}
carltonroad.org.uk,0,1,,{138751}
carltonvclower.ik.org,0,0,,{109610}
carlyleinfantschool.org.uk,0,1,,{112755}
carmel.ac.uk,0,1,,{130489}
carmel.org.uk,0,1,,"{114324,137622}"
carmountsideprimary.co.uk,0,1,,{123991}
carmountsideprimary.org.uk,0,1,,{139846}
carnagill.n-yorks.sch.uk,1,1,n-yorks,{121350}
carnarvon.notts.sch.uk,1,1,notts,{122621}
carnforthhigh.co.uk,0,1,,{119748}
carnforthnorthroad.lancs.sch.uk,1,1,lancs,{119126}
carpenters.newham.sch.uk,1,1,newham,{102712}
carrantbrook.com,0,0,,{115750}
carrdykefederation.co.uk,0,1,,"{120530,120391}"
carres.lincs.sch.uk,1,1,lincs,{120699}
carres.uk,0,1,,{137213}
carrfieldacademy.co.uk,0,1,,{138702}
carrgreenschool.org.uk,0,1,,{107500}
carrhead.lancsngfl.ac.uk,0,1,,{119276}
carrhill.notts.sch.uk,1,1,notts,{122732}
carrhillprimary.org,0,0,,{108321}
carrhillschool.com,0,0,,{119744}
carrinfantprimary.co.uk,0,1,,{121273}
carrington-inf.bucks.sch.uk,1,1,bucks,{110283}
carringtonjs.co.uk,0,1,,{110274}
carrington.nottingham.sch.uk,1,1,nottingham,{122414}
carrjunior.co.uk,0,1,,{121272}
carrlanej.eril.net,0,0,,{117850}
carrmanor-pri.leeds.sch.uk,1,1,leeds,{107913}
carrwoodprimaryschool.co.uk,0,1,,{107240}
carshaltonboys.org,0,0,,{136799}
carsicprimary.co.uk,0,1,,{134218}
carsingtonhoptonprimary.co.uk,0,1,,{112878}
carswell.oxon.sch.uk,1,1,oxon,{123080}
carterhatchinfants.com,0,0,,{101983}
carterhatch-jun.enfield.sch.uk,1,1,enfield,{101982}
carterknowle.sheffield.sch.uk,1,1,sheffield,{106988}
carter.poole.sch.uk,1,1,poole,"{139258,113865}"
carters.lancs.sch.uk,1,1,lancs,{119392}
cartertoncc.oxon.sch.uk,1,1,oxon,{123236}
carterton-pri.oxon.sch.uk,1,1,oxon,{123015}
cartmelpriory.cumbria.sch.uk,1,1,cumbria,{112437}
cartmelprioryschool.co.uk,0,1,,{137338}
carvilleprimaryschool.ik.org,0,0,,{108592}
cas.coop,0,0,,{136102}
cashesgreen-pri.gloucs.sch.uk,1,1,gloucs,{115561}
cashigh.com,0,0,,{108273}
caslon.dudley.sch.uk,1,1,dudley,{103801}
cassioburyinfants.herts.sch.uk,1,1,herts,{117293}
cassioburyjm.herts.sch.uk,1,1,herts,{117167}
cassop.durham.sch.uk,1,1,durham,{114075}
castel.sch.gg,0,0,,{132506}
castercliff.lancs.sch.uk,1,1,lancs,{119281}
castercliffprimaryacademy.co.uk,0,1,,{142055}
castertoncollege.com,0,0,,{137340}
casterton.lancsngfl.ac.uk,0,1,,{119219}
castilion.bexley.sch.uk,1,1,bexley,{101444}
castleacademy.northants.sch.uk,1,1,northants,{140362}
castleacademy.org,0,0,,{138703}
castlebatch.n-somerset.sch.uk,1,1,n-somerset,{109135}
castle.bathnes.sch.uk,1,1,bathnes,{109081}
castlebrookhighschool.co.uk,0,1,,{105363}
castlecampsschool.co.uk,0,1,,{110784}
castlecaregroup.co.uk,0,1,,{135166}
castlecarrock.cumbria.sch.uk,1,1,cumbria,{137653}
castlecaryschool.org.uk,0,1,,{123640}
castlechurchprimary.co.uk,0,1,,{124203}
castlecollege.ac.uk,0,1,,{130775}
castlecombe.bromley.sch.uk,1,1,bromley,"{101606,140533}"
castlecourt.com,0,0,,{113931}
castlecroftprimaryschool.com,0,0,,{104311}
castle.derby.sch.uk,1,1,derby,{112482}
castledon.essex.sch.uk,1,1,essex,"{141765,115461}"
castledonington.leics.sch.uk,1,1,leics,"{138820,120254}"
castledown.org.uk,0,1,,"{144083,114474}"
castledown.wilts.sch.uk,1,1,wilts,{126511}
castle.dudley.sch.uk,1,1,dudley,"{144657,103867}"
castledykeprimary.co.uk,0,1,,{117967}
castlefields-bridgnorth.shropshire.sch.uk,1,1,shropshire,{123432}
castlefieldschool.co.uk,0,1,,{110522}
castlefieldsinfantschool.co.uk,0,1,,{107531}
castlefordacademy.com,0,0,,{136633}
castlefortjmischool.co.uk,0,1,,{104204}
castlehall.com,0,0,,"{137399,107784}"
castlehillacademy.co.uk,0,1,,{140000}
castle-hill.bolton.sch.uk,1,1,bolton,{105150}
castlehill.gloucs.sch.uk,1,1,gloucs,{115569}
castlehillinfantschool.org,0,0,,{116041}
castlehill-inf.suffolk.sch.uk,1,1,suffolk,"{141372,124663}"
castlehill-jun.suffolk.sch.uk,1,1,suffolk,"{141373,124661}"
castlehill.kent.sch.uk,1,1,kent,{133177}
castlehill.kingston.sch.uk,1,1,kingston,"{102563,141764}"
castlehillprimary.co.uk,0,1,,"{101786,107520}"
castlehillprimary.net,0,0,,{116005}
castlehillschool.org.uk,0,1,,"{134689,142420}"
castlehills.org.uk,0,1,,{106693}
castlehill.stockport.sch.uk,1,1,stockport,{106172}
castlehill.wigan.sch.uk,1,1,wigan,{106472}
castlemanor.suffolk.sch.uk,1,1,suffolk,"{124788,138162}"
castlemead.wilts.sch.uk,1,1,wilts,{140223}
castlemortonprimaryschool.co.uk,0,1,,{116791}
castlenewnham.school,0,0,,"{109435,109661}"
castle.n-yorks.sch.uk,1,1,n-yorks,{121574}
castleparkschool.org.uk,0,1,,"{142693,112189}"
castlepark.staffs.sch.uk,1,1,staffs,{124049}
castleprimary.co.uk,0,1,,{141732}
castleprimaryschool.co.uk,0,1,,{116083}
castleprimaryschool.org,0,0,,{141695}
castlerock.leics.sch.uk,1,1,leics,"{120258,138478}"
